vendor,category,default_ports,shodan_dork,source_repo
LlamaIndex,Fingerprinting,,http.favicon.hash:-1404538293,AI-LLM-Infrastructure-OSINT
Clawdbot,Fingerprinting,18789,http.favicon.hash:348721092,AI-LLM-Infrastructure-OSINT
FastAPI ML,Fingerprinting,8000,"port:8000 http.html:""FastAPI"" http.html:""openapi""",AI-LLM-Infrastructure-OSINT
OpenAI-compat,Fingerprinting,8000,"port:8000 http.html:""/v1/chat/completions""",AI-LLM-Infrastructure-OSINT
OpenAI-compat,Fingerprinting,8000,"port:8000 http.html:""/v1/models""",AI-LLM-Infrastructure-OSINT
Ollama,Fingerprinting,11434,"port:11434 http.html:""/api/tags""",AI-LLM-Infrastructure-OSINT
ComfyUI,Fingerprinting,8188,"port:8188 http.html:""comfyui""",AI-LLM-Infrastructure-OSINT
Metabase,BI Dashboards,3000;80;443;8080;8443,"port:3000 http.html:""metabase""",AI-LLM-Infrastructure-OSINT
Metabase,BI Dashboards,3000,"http.title:""Metabase""",AI-LLM-Infrastructure-OSINT
Apache Superset,BI Dashboards,8088,"port:8088 http.html:""superset""",AI-LLM-Infrastructure-OSINT
Redash,BI Dashboards,5000,"port:5000 http.html:""redash""",AI-LLM-Infrastructure-OSINT
Grafana,BI Dashboards,3000;80;443,"port:3000 http.html:""grafana""",AI-LLM-Infrastructure-OSINT
Grafana,BI Dashboards,3000,"http.title:""Grafana""",AI-LLM-Infrastructure-OSINT
Whisper,Voice / Audio AI,8080;9000;7860,"port:9000 http.html:""whisper""",AI-LLM-Infrastructure-OSINT
faster-whisper,Voice / Audio AI,8080,"port:8080 http.html:""faster-whisper""",AI-LLM-Infrastructure-OSINT
WhisperX,Voice / Audio AI,,"http.html:""whisperx""",AI-LLM-Infrastructure-OSINT
whisper.cpp,Voice / Audio AI,8080,"port:8080 http.html:""whisper.cpp""",AI-LLM-Infrastructure-OSINT
WhisperLive,Voice / Audio AI,9090,"port:9090 http.html:""whisperlive""",AI-LLM-Infrastructure-OSINT
Vosk,Voice / Audio AI,,"http.html:""vosk""",AI-LLM-Infrastructure-OSINT
Coqui TTS,Voice / Audio AI,5002;8020,"port:5002 http.html:""coqui""",AI-LLM-Infrastructure-OSINT
Piper,Voice / Audio AI,,"http.html:""piper"" http.html:""tts""",AI-LLM-Infrastructure-OSINT
Bark,Voice / Audio AI,,"http.html:""bark"" http.html:""tts""",AI-LLM-Infrastructure-OSINT
MusicGen,Voice / Audio AI,,"http.html:""musicgen""",AI-LLM-Infrastructure-OSINT
AudioCraft,Voice / Audio AI,,"http.html:""audiocraft""",AI-LLM-Infrastructure-OSINT
OpenVoice,Voice / Audio AI,,"http.html:""openvoice""",AI-LLM-Infrastructure-OSINT
F5-TTS,Voice / Audio AI,,"http.html:""f5-tts""",AI-LLM-Infrastructure-OSINT
ChatTTS,Voice / Audio AI,,"http.html:""chattts""",AI-LLM-Infrastructure-OSINT
Tortoise TTS,Voice / Audio AI,,"http.html:""tortoise""",AI-LLM-Infrastructure-OSINT
StyleTTS2,Voice / Audio AI,,"http.html:""styletts2""",AI-LLM-Infrastructure-OSINT
Mozilla TTS,Voice / Audio AI,5002,"port:5002 http.html:""mozilla"" http.html:""tts""",AI-LLM-Infrastructure-OSINT
RVC,Voice / Audio AI,7865,"port:7865 http.html:""rvc""",AI-LLM-Infrastructure-OSINT
GPT-SoVITS,Voice / Audio AI,9880,"port:9880 http.html:""sovits""",AI-LLM-Infrastructure-OSINT
so-vits-svc,Voice / Audio AI,,"http.html:""so-vits-svc""",AI-LLM-Infrastructure-OSINT
Applio,Voice / Audio AI,,"http.html:""applio""",AI-LLM-Infrastructure-OSINT
Pipecat,Voice / Audio AI,7860,"port:7860 http.html:""pipecat""",AI-LLM-Infrastructure-OSINT
LiveKit,Voice / Audio AI,,"http.html:""livekit""",AI-LLM-Infrastructure-OSINT
Vocode,Voice / Audio AI,,"http.html:""vocode""",AI-LLM-Infrastructure-OSINT
Retell AI,Voice / Audio AI,,"http.html:""retell""",AI-LLM-Infrastructure-OSINT
Pyannote,Voice / Audio AI,,"http.html:""pyannote""",AI-LLM-Infrastructure-OSINT
SpeechBrain,Voice / Audio AI,,"http.html:""speechbrain""",AI-LLM-Infrastructure-OSINT
NeMo,Voice / Audio AI,,"http.html:""nemo"" http.html:""asr""",AI-LLM-Infrastructure-OSINT
AI TTS Server,Voice / Audio AI,10087,"port:10087 http.html:""tts""",AI-LLM-Infrastructure-OSINT
Kokoro TTS,Voice / Audio AI,8880,"port:8880 http.html:""kokoro""",AI-LLM-Infrastructure-OSINT
Chatterbox TTS,Voice / Audio AI,8000;4123,"port:8000 http.html:""chatterbox""",AI-LLM-Infrastructure-OSINT
Orpheus-FastAPI,Voice / Audio AI,8899,"port:8899 http.html:""orpheus""",AI-LLM-Infrastructure-OSINT
Deepgram,Voice / Audio AI,8080;9991,"port:8080 http.html:""deepgram""",AI-LLM-Infrastructure-OSINT
NVIDIA NIM ASR,Voice / Audio AI,9000;50051,"port:9000 http.html:""nim"" http.html:""asr""",AI-LLM-Infrastructure-OSINT
AllTalk TTS,Voice / Audio AI,7851;7852,"port:7851 http.html:""alltalk""",AI-LLM-Infrastructure-OSINT
Jupyter Notebook,Jupyter,8888,"port:8888 http.html:""jupyter"" http.html:""notebook""",AI-LLM-Infrastructure-OSINT
JupyterLab,Jupyter,8888,"port:8888 http.html:""jupyterlab""",AI-LLM-Infrastructure-OSINT
JupyterHub,Jupyter,8000,"port:8000 http.html:""jupyterhub""",AI-LLM-Infrastructure-OSINT
Streamlit,Streamlit,8501,"port:8501 http.html:""streamlit""",AI-LLM-Infrastructure-OSINT
Streamlit,Streamlit,8501,"port:8501 http.title:""Streamlit""",AI-LLM-Infrastructure-OSINT
Gradio,Gradio,7860,"port:7860 http.html:""gradio""",AI-LLM-Infrastructure-OSINT
Stable Diffusion WebUI,Gradio,7860,"port:7860 http.html:""gradio"" http.html:""stable diffusion""",AI-LLM-Infrastructure-OSINT
Langflow,Gradio,7860,"port:7860 http.html:""gradio"" http.html:""langflow""",AI-LLM-Infrastructure-OSINT
InvokeAI,Gradio,7860,"port:7860 http.html:""gradio"" http.html:""invokeai""",AI-LLM-Infrastructure-OSINT
ComfyUI,Gradio,7860,"port:7860 http.html:""gradio"" http.html:""comfyui""",AI-LLM-Infrastructure-OSINT
ClickHouse,Specialty Data / ClickHouse,8123,"port:8123 ""clickhouse""",AI-LLM-Infrastructure-OSINT
ClickHouse,Specialty Data / ClickHouse,8123,"port:8123 http.html:""ClickHouse""",AI-LLM-Infrastructure-OSINT
Chrome DevTools Protocol,Browser Automation,9222,"port:9222 http.html:""json/version""",AI-LLM-Infrastructure-OSINT
Browserless,Browser Automation,3000,"port:3000 http.html:""browserless""",AI-LLM-Infrastructure-OSINT
Selenium Grid,Browser Automation,4444,"port:4444 http.html:""selenium""",AI-LLM-Infrastructure-OSINT
Playwright,Browser Automation,3000;4444,"port:3000 http.html:""playwright""",AI-LLM-Infrastructure-OSINT
Skyvern,Browser Automation,8000,"port:8000 http.html:""skyvern""",AI-LLM-Infrastructure-OSINT
Selenoid,Browser Automation,,"http.html:""selenoid""",AI-LLM-Infrastructure-OSINT
Splash,Browser Automation,8050,"port:8050 http.html:""splash""",AI-LLM-Infrastructure-OSINT
Playwright MCP,Browser Automation,8931,"port:8931 http.html:""playwright""",AI-LLM-Infrastructure-OSINT
doccano,Data Labeling,8000,"port:8000 http.html:""doccano""",AI-LLM-Infrastructure-OSINT
Argilla,Data Labeling,6900,"port:6900 http.html:""argilla""",AI-LLM-Infrastructure-OSINT
Label Studio,Data Labeling,8080,"port:8080 http.html:""Label Studio""",AI-LLM-Infrastructure-OSINT
Prodigy,Data Labeling,,"http.html:""prodigy"" http.html:""annotation""",AI-LLM-Infrastructure-OSINT
CVAT,Data Labeling,8080,"port:8080 http.html:""CVAT""",AI-LLM-Infrastructure-OSINT
Promptfoo,AI Safety / Eval,15500,"port:15500 http.html:""promptfoo""",AI-LLM-Infrastructure-OSINT
LangSmith,AI Safety / Eval,1984,"port:1984 http.html:""langsmith""",AI-LLM-Infrastructure-OSINT
NeMo Guardrails,AI Safety / Eval,8000;8080,"port:8000 http.html:""nemo"" http.html:""guardrails""",AI-LLM-Infrastructure-OSINT
DeepEval,AI Safety / Eval,8000;5000;8080,"port:8000 http.html:""deepeval""",AI-LLM-Infrastructure-OSINT
Garak,AI Safety / Eval,,"http.html:""garak""",AI-LLM-Infrastructure-OSINT
Inspect AI,AI Safety / Eval,7575;7576,"port:7575 http.html:""inspect""",AI-LLM-Infrastructure-OSINT
Lakera Guard,AI Safety / Eval,8000;8080,"port:8000 http.html:""lakera""",AI-LLM-Infrastructure-OSINT
Guardrails AI,LLM Safety / Guardrail / Policy,8000;8080;5000;443,"port:8000 http.html:""guardrails""",AI-LLM-Infrastructure-OSINT
NeMo Guardrails,LLM Safety / Guardrail / Policy,8000;8080;8443,"port:8000 http.html:""nemo"" http.html:""guardrails""",AI-LLM-Infrastructure-OSINT
Lakera Guard,LLM Safety / Guardrail / Policy,8000;8443;443,"port:8000 http.html:""lakera""",AI-LLM-Infrastructure-OSINT
LlamaGuard,LLM Safety / Guardrail / Policy,,"http.html:""llamaguard""",AI-LLM-Infrastructure-OSINT
OPA,LLM Safety / Guardrail / Policy,8181,"port:8181 http.html:""opa"" OR http.html:""openpolicyagent""",AI-LLM-Infrastructure-OSINT
Styra DAS,LLM Safety / Guardrail / Policy,,"http.html:""styra""",AI-LLM-Infrastructure-OSINT
W&B Weave,LLM Safety / Guardrail / Policy,,"http.html:""weave"" http.html:""wandb""",AI-LLM-Infrastructure-OSINT
LLM Guard,LLM Safety / Guardrail / Policy,8000,"port:8000 http.html:""llm-guard""",AI-LLM-Infrastructure-OSINT
Arize Phoenix,ML Observability,6006,"port:6006 http.html:""phoenix""",AI-LLM-Infrastructure-OSINT
TensorBoard,ML Observability,6006,"port:6006 http.html:""tensorboard""",AI-LLM-Infrastructure-OSINT
Weights & Biases,ML Observability,8080,"port:8080 http.html:""wandb""",AI-LLM-Infrastructure-OSINT
ClearML,ML Observability,8080;8008;8081,"port:8080 http.html:""ClearML""",AI-LLM-Infrastructure-OSINT
MLflow,ML Observability,5000,"port:5000 http.html:""mlflow""",AI-LLM-Infrastructure-OSINT
Evidently,ML Observability,8000,"port:8000 http.html:""evidently""",AI-LLM-Infrastructure-OSINT
Elasticsearch,Elasticsearch / Search,9200,"port:9200 ""You Know, for Search""",AI-LLM-Infrastructure-OSINT
Elasticsearch,Elasticsearch / Search,9200,"port:9200 http.html:""elasticsearch"" http.html:""cluster_name""",AI-LLM-Infrastructure-OSINT
OpenSearch,Elasticsearch / Search,9200,"port:9200 http.html:""opensearch""",AI-LLM-Infrastructure-OSINT
Kibana,Elasticsearch / Search,5601,"port:5601 http.html:""kibana"" http.html:""version""",AI-LLM-Infrastructure-OSINT
Mem0,Agent Memory,8000,"port:8000 http.html:""mem0""",AI-LLM-Infrastructure-OSINT
Mem0 via Qdrant,Agent Memory,6333,"port:6333 http.html:""qdrant"" http.html:""mem0""",AI-LLM-Infrastructure-OSINT
Mem0 via ChromaDB,Agent Memory,8000,"port:8000 http.html:""chroma"" http.html:""mem0""",AI-LLM-Infrastructure-OSINT
TEI,Embedding Services,80;8080;3000,"port:8080 http.html:""text-embeddings-inference""",AI-LLM-Infrastructure-OSINT
infinity-embedding,Embedding Services,7997,"port:7997 http.html:""infinity""",AI-LLM-Infrastructure-OSINT
BAAI/bge,Embedding Services,,"http.html:""bge"" http.html:""embeddings""",AI-LLM-Infrastructure-OSINT
nomic-embed,Embedding Services,,"http.html:""nomic-embed""",AI-LLM-Infrastructure-OSINT
sentence-transformers,Embedding Services,,"http.html:""sentence-transformers""",AI-LLM-Infrastructure-OSINT
Jina Embeddings,Embedding Services,8080;8000,"port:8080 http.html:""jina""",AI-LLM-Infrastructure-OSINT
Xinference,Embedding Services,,"http.html:""xinference""",AI-LLM-Infrastructure-OSINT
LocalAI Embeddings,Embedding Services,8080,"port:8080 http.html:""localai"" http.html:""embeddings""",AI-LLM-Infrastructure-OSINT
Orthanc,Medical / Edge AI,8042;8043;4242,"port:8042 http.html:""orthanc""",AI-LLM-Infrastructure-OSINT
MONAI Label,Medical / Edge AI,8000,"port:8000 http.html:""monai""",AI-LLM-Infrastructure-OSINT
dcm4chee,Medical / Edge AI,8080;8443,"port:8080 http.html:""dcm4chee""",AI-LLM-Infrastructure-OSINT
NVIDIA NIM Medical,Medical / Edge AI,8000,"port:8000 http.html:""nim"" http.html:""medical""",AI-LLM-Infrastructure-OSINT
Holoscan,Medical / Edge AI,8000;8081;8443,"port:8000 http.html:""holoscan""",AI-LLM-Infrastructure-OSINT
DICOM,Medical / Edge AI,104;11112,"port:104 http.html:""dicom""",AI-LLM-Infrastructure-OSINT
OpenMetadata,ML Governance,8585,"port:8585 http.html:""openmetadata""",AI-LLM-Infrastructure-OSINT
DataHub,ML Governance,9002;8080,"port:9002 http.html:""datahub""",AI-LLM-Infrastructure-OSINT
CKAN,ML Governance,5000,"port:5000 http.html:""ckan""",AI-LLM-Infrastructure-OSINT
Marquez,ML Governance,,"http.html:""marquez""",AI-LLM-Infrastructure-OSINT
Argo Workflows,Workflow Orchestration,2746,"port:2746 http.html:""argo""",AI-LLM-Infrastructure-OSINT
Argo Workflows,Workflow Orchestration,2746,"ssl:""Argo Workflows""",AI-LLM-Infrastructure-OSINT
Temporal,Workflow Orchestration,7243;8080,"port:7243 http.html:""temporal""",AI-LLM-Infrastructure-OSINT
Temporal,Workflow Orchestration,8080,"port:8080 http.html:""temporal""",AI-LLM-Infrastructure-OSINT
Kubeflow,Workflow Orchestration,,"http.html:""kubeflow"" http.html:""pipeline""",AI-LLM-Infrastructure-OSINT
KServe,Workflow Orchestration,,"http.html:""kserve""",AI-LLM-Infrastructure-OSINT
Mage.ai,Workflow Orchestration,6789,"port:6789 http.html:""mage""",AI-LLM-Infrastructure-OSINT
Apache DolphinScheduler,Workflow Orchestration,12345,"port:12345 http.html:""dolphinscheduler""",AI-LLM-Infrastructure-OSINT
Flyte,Workflow Orchestration,30080;8088,"port:30080 http.html:""flyte""",AI-LLM-Infrastructure-OSINT
Zep CE,Agent Memory,8000,"port:8000 http.html:""zep""",AI-LLM-Infrastructure-OSINT
mem0 OpenMemory,Agent Memory,3000;8765,"port:3000 http.html:""openmemory""",AI-LLM-Infrastructure-OSINT
Letta,Agent Memory,8283,"port:8283 http.html:""letta""",AI-LLM-Infrastructure-OSINT
Memobase,Agent Memory,8019,"port:8019 http.html:""memobase""",AI-LLM-Infrastructure-OSINT
Cognee,Agent Memory,8000,"port:8000 http.html:""cognee""",AI-LLM-Infrastructure-OSINT
Motorhead,Agent Memory,8000,"port:8000 http.html:""motorhead""",AI-LLM-Infrastructure-OSINT
Graphiti,Agent Memory,8000,"port:8000 http.html:""graphiti""",AI-LLM-Infrastructure-OSINT
Gorse,Classical ML,8087,"http.title:""Gorse Dashboard""",AI-LLM-Infrastructure-OSINT
Gorse,Classical ML,8087,"http.html:""Gorse Dashboard"" http.html:""fontawesome.com/releases/v7.0.0""",AI-LLM-Infrastructure-OSINT
Gorse,Classical ML,8087,"port:8087 http.html:""/api/health/live""",AI-LLM-Infrastructure-OSINT
Vespa,Classical ML,8080,"http.html:""\""coverage\"""" http.html:""\""documents\"""" http.html:""\""degraded\"""" port:8080",AI-LLM-Infrastructure-OSINT
Vespa,Classical ML,8080,"http.html:""/document/v1/"" http.html:""pathId""",AI-LLM-Infrastructure-OSINT
TF-Serving,Classical ML,8501,"port:8501 http.html:""model_version_status""",AI-LLM-Infrastructure-OSINT
TF-Serving,Classical ML,8501,"http.html:""Could not find any versions of model""",AI-LLM-Infrastructure-OSINT
django-river-ml,Classical ML,8000,"http.html:""models"" port:8000 ""django""",AI-LLM-Infrastructure-OSINT
Solr-LTR,Classical ML,,"http.html:""schema/feature-store""",AI-LLM-Infrastructure-OSINT
Solr-LTR,Classical ML,,"http.html:""ManagedFeatureStore""",AI-LLM-Infrastructure-OSINT
ES-LTR,Classical ML,9200,"http.html:"".ltrstore""",AI-LLM-Infrastructure-OSINT
ES-LTR,Classical ML,9200,"http.html:""_ltr"" http.html:""featureset"" port:9200",AI-LLM-Infrastructure-OSINT
Cornac,Classical ML,8080,"port:8080 http.html:""remove_seen""",AI-LLM-Infrastructure-OSINT
VW Daemon,Classical ML,26542,port:26542,AI-LLM-Infrastructure-OSINT
Metarank,Classical ML,8080,"port:8080 http.html:""metarank""",AI-LLM-Infrastructure-OSINT
Portkey,AI Gateways,8787,"port:8787 http.html:""portkey""",AI-LLM-Infrastructure-OSINT
Kong AI Gateway,AI Gateways,8001;9901,"port:8001 http.html:""kong""",AI-LLM-Infrastructure-OSINT
Bifrost,AI Gateways,8080,"port:8080 http.html:""bifrost""",AI-LLM-Infrastructure-OSINT
one-api,AI Gateways,3000,"port:3000 http.html:""one-api""",AI-LLM-Infrastructure-OSINT
new-api,AI Gateways,3000,"port:3000 http.html:""new-api""",AI-LLM-Infrastructure-OSINT
TensorZero,AI Gateways,,"http.html:""tensorzero""",AI-LLM-Infrastructure-OSINT
Helicone,AI Gateways,8585,"port:8585 http.html:""helicone""",AI-LLM-Infrastructure-OSINT
Envoy AI Gateway,AI Gateways,9901,"port:9901 http.html:""envoy""",AI-LLM-Infrastructure-OSINT
LiteLLM,AI Gateways,4000;3000,"port:4000 http.html:""litellm""",AI-LLM-Infrastructure-OSINT
LiteLLM,AI Gateways,3000,"port:3000 http.html:""litellm""",AI-LLM-Infrastructure-OSINT
