vendor,domain,dmarc_policy,dmarc_aspf,dmarc_rua,funding_stage,raw
OceanBase,oceanbase.com,quarantine,,mailto:pub_officesec_antmail@antgroup-inc.com,,v=DMARC1; p=quarantine; rua=mailto:pub_officesec_antmail@antgroup-inc.com; ruf=mailto:pub_officesec_antmail@antgroup-inc.com
Neo4j,neo4j.com,reject,,mailto:702d9d3ddc@rua.easydmarc.us,,_dmarc.neo4j_com._d.easydmarc.pro. v=DMARC1;p=reject;pct=100;rua=mailto:702d9d3ddc@rua.easydmarc.us;ruf=mailto:702d9d3ddc@ruf.easydmarc.us;fo=0:1;
Ollama,ollama.com,quarantine,,"mailto:8d81e041f72e44d2975d918df2133355@dmarc-reports.cloudflare.net,mailto:dmarc_agg@vali.email",,"v=DMARC1; p=quarantine; pct=100; rua=mailto:8d81e041f72e44d2975d918df2133355@dmarc-reports.cloudflare.net,mailto:dmarc_agg@vali.email"
Onyx,onyx.com,none,s,mailto:dmarc-reports@onyx.com,,v=DMARC1; p=none; rua=mailto:dmarc-reports@onyx.com; aspf=s; adkim=s
OpenAI API Key,openai.com,reject,r,mailto:tdfyvl0n@ag.dmarcian.com,,v=DMARC1; p=reject; rua=mailto:tdfyvl0n@ag.dmarcian.com; ruf=mailto:tdfyvl0n@fr.dmarcian.com; fo=1; aspf=r
LLM Guard API,llmguard.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
LMDeploy,lmdeploy.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
nomic-embed,nomicembed.com,nxdomain,,,,
NeMo,nemo.com,no-dmarc,,,,
oobabooga,oobabooga.com,none,,,,v=DMARC1; p=none;
Open Directory,opendirectory.com,no-dmarc,,,,v=spf1 -all
MCP Proxy,mcpproxy.com,no-dmarc,,,,
OpenHands,openhands.com,no-dmarc,,,,
OpenMetadata,openmetadata.com,no-dmarc,,,,
OpenAI-compatible model server,openaicompatible.com,nxdomain,,,,
One API,oneapi.com,no-dmarc,,,,
OpenCost,opencost.com,no-dmarc,,,,comingsoon.namebright.com. cdl-prd-http-a5ed094605213071.elb.us-east-1.amazonaws.com.
OpenSearch,opensearch.com,no-dmarc,,,,v=spf1 -all
MSSQL,mssql.com,no-dmarc,,,,
OpenVINO Model Server (OVMS),openvino.com,no-dmarc,,,,v=spf1 -all
Open Policy Agent,openpolicy.com,no-dmarc,,,,";; Warning: ID mismatch: expected ID 53562, got 28336"
OpenClaw,openclaw.com,no-dmarc,,,,
OpenAI-compat,openaicompat.com,nxdomain,,,,
Open WebUI,openwebui.com,none,,mailto:dmarc@openwebui.com,,v=DMARC1; p=none; rua=mailto:dmarc@openwebui.com
Opik,comet.com,reject,,mailto:ypkdpyv5@ag.us.dmarcian.com,,v=DMARC1; p=reject; rua=mailto:ypkdpyv5@ag.us.dmarcian.com; ruf=mailto:ypkdpyv5@fr.us.dmarcian.com;
mem0 OpenMemory,mem0openmemory.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Perplexica,perplexica.com,no-dmarc,,,,
MCP Filesystem,mcpfilesystem.com,no-dmarc,,,,
Phidata,phidata.com,none,s,mailto:ashpreet@phidata.com,,v=DMARC1;p=none;sp=none;pct=100;rua=mailto:ashpreet@phidata.com;ruf=mailto:ashpreet@phidata.com;ri=86400;aspf=s;adkim=s;fo=1
Piper,piper.com,reject,,mailto:dmarc_rua@emaildefense.proofpoint.com,,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1
MCP SSE,mcpsse.com,no-dmarc,,,,
MCP JSON-RPC,mcpjsonrpc.com,no-dmarc,,,,
Mem0 via ChromaDB,mem0via.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Pezzo,pezzo.com,none,,,,v=DMARC1; p=none
pgAdmin,pgadmin.com,no-dmarc,,,,
OpenVoice,openvoice.com,none,,mailto:logmein@rua.agari.com,,v=DMARC1; p=none; fo=1; rua=mailto:logmein@rua.agari.com; ruf=mailto:logmein@ruf.agari.com; ri=3600
Memcached,memcached.org,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Portainer,portainer.com,reject,s,,,v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s
Portkey,portkey.ai,quarantine,,"mailto:15b62c74b7214692924c35bf0f4a78ca@dmarc-reports.cloudflare.net,mailto:mailmaster@portkey.ai",,"v=DMARC1; p=quarantine; pct=100; ri=86400; rua=mailto:15b62c74b7214692924c35bf0f4a78ca@dmarc-reports.cloudflare.net,mailto:mailmaster@portkey.ai"
Playwright,playwright.com,reject,,mailto:rua@dmarc.microsoft,,v=DMARC1; p=reject; pct=100; rua=mailto:rua@dmarc.microsoft; ruf=mailto:ruf@dmarc.microsoft; fo=1
Pipecat,pipecat.com,no-dmarc,,,,v=spf1 -all
Prefect,prefect.io,reject,,mailto:_dmarc@prefect.io,,v=DMARC1; p=reject; pct=100; rua=mailto:_dmarc@prefect.io
PrivateGPT,privategpt.com,no-dmarc,,,,v=spf1 -all
PromptLayer,promptlayer.com,none,,,,v=DMARC1; p=none;
PromptFlow,promptflow.com,no-dmarc,,,,
Pomerium,pomerium.com,quarantine,,mailto:dmarc@pomerium.com,,v=DMARC1;p=quarantine; rua=mailto:dmarc@pomerium.com; ruf=mailto:dmarc@pomerium.com;
Orthanc,orthanc.com,no-dmarc,,,,comingsoon.namebright.com. cdl-prd-http-a5ed094605213071.elb.us-east-1.amazonaws.com.
QuestDB,questdb.com,reject,,mailto:re+db68fa4c5190@inbound.dmarcdigests.com,,v=DMARC1; p=reject; sp=reject; rua=mailto:re+db68fa4c5190@inbound.dmarcdigests.com; pct=100
Quivr,quivr.com,none,,mailto:dmarc-reports@quivr.com,,v=DMARC1; p=none; rua=mailto:dmarc-reports@quivr.com
Rancher,rancher.com,quarantine,,mailto:dmarc_agg@vali.email,,v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email; sp=none; fo=1; ri=86400
PaddleOCR,paddleocr.com,no-dmarc,,,,aigcliu.github.io.
Rasa,rasa.com,quarantine,,mailto:f47cce7de6de4b46ba840bfbe717302a@dmarc-reports.cloudflare.net,,v=DMARC1; p=quarantine; pct=100; rua=mailto:f47cce7de6de4b46ba840bfbe717302a@dmarc-reports.cloudflare.net; fo=1;
Ragapp,ragapp.com,no-dmarc,,,,
Pyannote,pyannote.com,none,,,,dmarc.ionos.fr. v=DMARC1; p=none;
Ray Serve,rayserve.com,none,r,,,v=DMARC1; p=none; aspf=r; adkim=r;
Redash,redash.io,none,r,mailto:re+wzm8jghvglj@dmarc.postmarkapp.com,,v=DMARC1; p=none; pct=100; rua=mailto:re+wzm8jghvglj@dmarc.postmarkapp.com; sp=none; aspf=r;
redge catalog-sync,redge.com,quarantine,,mailto:dmarc@redge.com,,v=DMARC1; p=quarantine;rua=mailto:dmarc@redge.com
RDP,rdp.com,no-dmarc,,,,
Redis,redis.io,reject,r,mailto:097fbda2@mxtoolbox.dmarc-report.com,,v=DMARC1; p=reject; pct=100; rua=mailto:097fbda2@mxtoolbox.dmarc-report.com; ruf=mailto:097fbda2@forensics.dmarc-report.com; adkim=r; aspf=r; fo=1
R2R,r2r.com,no-dmarc,,,,cpanel354.turbify.biz. v=spf1 a mx ip4:172.171.240.104 include:relay.mailchannels.net -all
RedisInsight,redisinsight.com,no-dmarc,,,,
Rivet,rivet.com,quarantine,,mailto:contango@rivet.com,,v=DMARC1; p=quarantine; pct=100; rua=mailto:contango@rivet.com; ri=1209600
RunPod,runpod.io,reject,,"mailto:support@runpod.io,mailto:rutvik.patel@runpod.io",,"v=DMARC1;p=reject;sp=reject;pct=100;rua=mailto:support@runpod.io,mailto:rutvik.patel@runpod.io;ruf=mailto:support@runpod.io,mailto:rutvik.patel@runpod.io;ri=86400;fo=1;"
SageMaker,sagemaker.com,no-dmarc,,,,
scanner default port set,scanner.com,no-dmarc,,,,v=spf1 ip6:fd43:c0d1:c090::/48 -all
ScyllaDB REST,scylladb.com,reject,,mailto:dmarc-reports@scylladb.com,,v=DMARC1; p=reject; rua=mailto:dmarc-reports@scylladb.com; ruf=mailto:dmarc-reports@scylladb.com; fo=1
Qdrant,qdrant.tech,none,,,,v=DMARC1; p=none;
SD.Next,sdnext.com,no-dmarc,,,,
OPA,opa.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
RAGFlow,ragflow.com,no-dmarc,,,,
Seldon,seldon.io,none,,mailto:dmarc@seldon.io,,v=DMARC1; p=none; rua=mailto:dmarc@seldon.io
Selenium Grid,selenium.com,no-dmarc,,,,
SillyTavern,sillytavern.com,no-dmarc,,,,
Skyvern,skyvern.com,none,,mailto:dmarc-reports@skyvern.com,,v=DMARC1; p=none; rua=mailto:dmarc-reports@skyvern.com
OpenLIT,openlit.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Sourcegraph,sourcegraph.com,quarantine,,mailto:dmarc-notifications@sourcegraph.com,,v=DMARC1; p=quarantine; rua=mailto:dmarc-notifications@sourcegraph.com
SGLang,sglang.com,no-dmarc,,,,
Selenoid,selenoid.com,no-dmarc,,,,traff-https.hugedomains.com. hdl-prd-https-0699149ba9be518e.elb.us-east-1.amazonaws.com.
Orpheus-FastAPI,orpheusfastapi.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
sentence-transformers,sentencetransformers.com,nxdomain,,,,
pgvector,pgvector.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
SpeechBrain,speechbrain.com,no-dmarc,,,,v=spf1 -all
Spark UI,spark.com,no-dmarc,,,,
Sourcebot,sourcebot.com,reject,,,,v=DMARC1; p=reject; sp=reject
Splunk,splunk.com,reject,,mailto:dmarc_agg@vali.email,,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email
Stable Diffusion WebUI,stable.com,quarantine,,mailto:marketing@stable.com,,v=DMARC1; p=quarantine; rua=mailto:marketing@stable.com; ruf=mailto:marketing@stable.com; fo=1
Splash,splash.com,no-dmarc,,,,
SSH,ssh.com,reject,r,mailto:ipm4dra@ar.glockapps.com,,v=DMARC1; p=reject; rua=mailto:ipm4dra@ar.glockapps.com; ruf=mailto:ipm4dra@fr.glockapps.com; adkim=r; aspf=r; fo=1;
Solr-LTR,solrltr.com,nxdomain,,,,
new-api,newapi.com,no-dmarc,,,,
Portkey Gateway,portkey.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
PostgreSQL,postgresql.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Streamlit,streamlit.io,quarantine,,,,v=DMARC1; p=quarantine;
Prometheus,prometheus.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Prodigy,prodigy.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Promptfoo,promptfoo.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Supabase,supabase.com,reject,r,mailto:re+dgebavkwb5w@inbound.dmarcdigests.com,,v=DMARC1; p=reject; pct=100; rua=mailto:re+dgebavkwb5w@inbound.dmarcdigests.com; ruf=mailto:team-growth-eng@supabase.com; fo=1; sp=quarantine; aspf=r;
SuperTokens,supertokens.com,reject,s,,,v=DMARC1; p=reject; aspf=s; adkim=s;
SuperAGI,superagi.com,reject,,"mailto:team@superagi.com,mailto:dev@superagi.com",,"v=DMARC1;p=reject;rua=mailto:team@superagi.com,mailto:dev@superagi.com;sp=reject;pct=100;ruf=mailto:team@superagi.com,mailto:dev@superagi.com;"
SurrealDB,surrealdb.com,reject,r,"mailto:e89d0ffc@dmarc.mailgun.org,mailto:138314e1@inbox.ondmarc.com,mailto:postmaster@surrealdb.com",,"v=DMARC1; p=reject; pct=100; fo=1; ri=3600; sp=reject; adkim=r; aspf=r; rua=mailto:e89d0ffc@dmarc.mailgun.org,mailto:138314e1@inbox.ondmarc.com,mailto:postmaster@surrealdb.com; ruf=mailto:e89d0ffc@dmarc.mailgun.org,mailto:138314e1@inbox.ondmarc.com;"
Tabnine,tabnine.com,reject,,,,v=DMARC1;p=reject;pct=100;fo=1;
SwarmUI,swarmui.com,no-dmarc,,,,v=spf1 -all
Sweep AI,sweep.com,no-dmarc,,,,v=spf1 -all
TensorZero,tensorzero.com,reject,,mailto:1a3aff5f1d9049cd883ce672a73f5153@dmarc-reports.cloudflare.net,,v=DMARC1;  p=reject; rua=mailto:1a3aff5f1d9049cd883ce672a73f5153@dmarc-reports.cloudflare.net
TEI,tei.com,reject,,mailto:dmarc_agg@vali.email,,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email;
Restate,restate.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Refact,refact.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Retell AI,retell.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
RVC,rvc.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
TorchServe,torchserve.com,no-dmarc,,,,traff-https.hugedomains.com. hdl-prd-https-0699149ba9be518e.elb.us-east-1.amazonaws.com.
Text Generation Inference,textgeneration.com,no-dmarc,,,,traff-https.hugedomains.com. hdl-prd-https-0699149ba9be518e.elb.us-east-1.amazonaws.com.
RVC Voice Cloning WebUI,rvcvoice.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Ray Dashboard,raydashboard.com,no-dmarc,,,,
Typesense,typesense.org,none,,mailto:c965c1d97e@rua.easydmarc.us,,v=DMARC1;p=none;sp=none;pct=100;rua=mailto:c965c1d97e@rua.easydmarc.us;ruf=mailto:c965c1d97e@ruf.easydmarc.us;ri=86400;fo=1
Unsloth,unsloth.ai,none,,,,v=DMARC1; p=none;
Unsloth Studio,unsloth.com,quarantine,r,mailto:dmarc_rua@onsecureserver.net,,v=DMARC1; p=quarantine; adkim=r; aspf=r; rua=mailto:dmarc_rua@onsecureserver.net;
Vault,vault.com,none,r,mailto:re+plrkznrhops@dmarc.postmarkapp.com,,v=DMARC1; p=none; pct=100; rua=mailto:re+plrkznrhops@dmarc.postmarkapp.com; sp=none; aspf=r;
Verba,verba.com,quarantine,,mailto:admin@verba.com,,v=DMARC1;p=quarantine;rua=mailto:admin@verba.com;ruf=mailto:admin@verba.com;
Tyk,tyk.com,no-dmarc,,,,
text-generation-webui,textgenerationwebui.com,nxdomain,,,,
Vespa,vespa.ai,none,r,mailto:dmarc-reports@vespa.ai,,v=DMARC1; p=none; rua=mailto:dmarc-reports@vespa.ai; pct=100; adkim=r; aspf=r
TF-Serving,tfserving.com,nxdomain,,,,
Tortoise TTS,tortoise.com,none,,,,v=DMARC1;p=none;
VictoriaMetrics,victoriametrics.com,none,,,,v=DMARC1;p=none
Vosk,alphacephei.com,reject,,,,v=DMARC1; p=reject; sp=reject; ruf=mailto:postmaster@alphacephei.com; fo=1
Weaviate,weaviate.io,quarantine,,mailto:bob+dmarc@weaviate.io,,v=DMARC1;p=quarantine;rua=mailto:bob+dmarc@weaviate.io
vLLM,vllm.ai,no-dmarc,,,,
Windmill,windmill.dev,quarantine,,mailto:windmillspam@windmill.dev,,v=DMARC1; p=quarantine; rua=mailto:windmillspam@windmill.dev
WandB Service (custom FastAPI proxy),wandb.com,reject,,mailto:12ff7d2b1db946a89326eda10e055d5f@dmarc-reports.cloudflare.net,,v=DMARC1;p=reject;rua=mailto:12ff7d2b1db946a89326eda10e055d5f@dmarc-reports.cloudflare.net;ruf=mailto:12ff7d2b1db946a89326eda10e055d5f@dmarc-reports.cloudflare.net;fo=1
Zep,getzep.com,reject,,mailto:8c8490b6b7f0402eb0934c0f27c8d1a1@dmarc-reports.cloudflare.net,,v=DMARC1; p=reject; sp=reject; rua=mailto:8c8490b6b7f0402eb0934c0f27c8d1a1@dmarc-reports.cloudflare.net;
Xinference,xinference.io,no-dmarc,,,,
ZenML,zenml.io,none,,mailto:rua@dmarc.brevo.com,,v=DMARC1; p=none; rua=mailto:rua@dmarc.brevo.com
Vocode,vocode.dev,none,,,,v=DMARC1; p=none;
trysalus.ai,trysalus.ai,none,,mailto:ceo@trysalus.ai,Pre-seed/YC,v=DMARC1; p=none; rua=mailto:ceo@trysalus.ai
Zilliz,zilliz.com,reject,,mailto:dmarc-reports@zilliz.com,,v=DMARC1; p=reject; sp=reject; rua=mailto:dmarc-reports@zilliz.com
sluice.email,sluice.email,none,,,Pre-seed/YC,v=DMARC1; p=none;
aegisai.ai,aegisai.ai,reject,s,mailto:ryan@aegisai.ai,Seed,v=DMARC1; p=reject; rua=mailto:ryan@aegisai.ai; pct=100; adkim=s; aspf=s;
Vocode Voice Agent,vocode.com,no-dmarc,,,,bio=89d457271974df2ca8e491a5a8fcefd523a867c3
clawvisor.com,clawvisor.com,none,s,mailto:eric@clawvisor.com,Pre-seed/YC,v=DMARC1; p=none; rua=mailto:eric@clawvisor.com; ruf=mailto:eric@clawvisor.com; fo=1; adkim=s; aspf=s
straiker.ai,straiker.ai,none,,,Seed,v=DMARC1; p=none;
adversaai.com,adversaai.com,no-dmarc,,,Seed,v=spf1 -all
alterai.dev,alterai.dev,none,,"mailto:6bb0724508d54e63b975662927f52995@dmarc-reports.cloudflare.net,mailto:dmarc@alterai.dev",Pre-seed/YC,"v=DMARC1; p=none; rua=mailto:6bb0724508d54e63b975662927f52995@dmarc-reports.cloudflare.net,mailto:dmarc@alterai.dev"
opsani.com,opsani.com,none,,,Seed,v=DMARC1; p=none
patronus.ai,patronus.ai,quarantine,,mailto:dmarc@patronus.ai,Seed,v=DMARC1; p=quarantine; pct=100; ri=86400; rua=mailto:dmarc@patronus.ai;
prompt.security,prompt.security,reject,,mailto:dmarc@prompt.security,Series A,v=DMARC1; p=reject; pct=100; rua=mailto:dmarc@prompt.security;
nexla.com,nexla.com,quarantine,r,mailto:re+sm9jfom7zmy@dmarc.postmarkapp.com,Seed,v=DMARC1; p=quarantine; sp=reject; adkim=r; aspf=r; pct=100; rf=afrf; fo=1; ri=864000;rua=mailto:re+sm9jfom7zmy@dmarc.postmarkapp.com; 
protectai.com,protectai.com,quarantine,,mailto:dmarc@protectai.com,Series A,v=DMARC1; p=quarantine; pct=25; rua=mailto:dmarc@protectai.com
mindgard.ai,mindgard.ai,quarantine,,mailto:de6364b76269442f9a8748a9ee58abea@dmarc-reports.cloudflare.net,Seed,v=DMARC1; p=quarantine; rua=mailto:de6364b76269442f9a8748a9ee58abea@dmarc-reports.cloudflare.net
lakera.ai,lakera.ai,reject,,"mailto:dmarc@lakera.ai,mailto:4b90ae7b02@rua.easydmarc.us,mailto:21acc6d1f46f4a3bb0d9baab02d8bf50@dmarc-reports.cloudflare.net",Series A,"v=DMARC1;p=reject;rua=mailto:dmarc@lakera.ai,mailto:4b90ae7b02@rua.easydmarc.us,mailto:21acc6d1f46f4a3bb0d9baab02d8bf50@dmarc-reports.cloudflare.net;ruf=mailto:4b90ae7b02@ruf.easydmarc.us;fo=1;"
hiddenlayer.com,hiddenlayer.com,quarantine,,mailto:aq1npik5@ag.us.dmarcian.com,Series B,v=DMARC1; p=quarantine; rua=mailto:aq1npik5@ag.us.dmarcian.com;
calypsoai.com,calypsoai.com,reject,,mailto:admin@calypsoai.com,Series A,v=DMARC1; p=reject; rua=mailto:admin@calypsoai.com
abnormalsecurity.com,abnormalsecurity.com,reject,,"mailto:dmarc_agg@vali.email,mailto:a.zlfl87ai@sdmarc.net,mailto:dmarcreport@abnormal.ai,mailto:reports@dmarc.cyber.dhs.gov",Series C,"v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email,mailto:a.zlfl87ai@sdmarc.net,mailto:dmarcreport@abnormal.ai,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:dmarcreport@abnormal.ai"
sublime.security,sublime.security,reject,,"mailto:dmarc_agg@vali.email, mailto:dgs9c2ef@ag.us.dmarcian.com",Series C,"v=DMARC1; p=reject; pct=100; rua=mailto:dmarc_agg@vali.email, mailto:dgs9c2ef@ag.us.dmarcian.com"
appomni.com,appomni.com,reject,,mailto:tx3rpseu@ag.us.dmarcian.com,Series C,v=DMARC1; p=reject; rua=mailto:tx3rpseu@ag.us.dmarcian.com;
arthur.ai,arthur.ai,none,,mailto:security-dmarc@arthur.ai,Series B,v=DMARC1; p=none; rua=mailto:security-dmarc@arthur.ai; pct=100
proofpoint.com,proofpoint.com,reject,,mailto:dmarc_rua@emaildefense.proofpoint.com,Public,v=DMARC1; p=reject; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com
checkmarx.com,checkmarx.com,quarantine,,,Public,v=DMARC1; p=quarantine; pct=100
material.security,material.security,reject,r,mailto:ysj8empx@ag.dmarcian.com,Series C,v=DMARC1; p=reject; sp=reject; rua=mailto:ysj8empx@ag.dmarcian.com; ruf=mailto:ysj8empx@fr.dmarcian.com; aspf=r;
fiddler.ai,fiddler.ai,quarantine,,mailto:alerts@fiddler.ai,Series B,v=DMARC1; p=quarantine; rua=mailto:alerts@fiddler.ai; rua=mailto:dmarc_agg@dmarc.everest.email; ruf=mailto:dmarc_fr@dmarc.everest.email
darktrace.com,darktrace.com,reject,s,"mailto:b405d2309e0476fa3c601d099f1aaf4e9cd4ab85@dmarc.cybersprint.com,mailto:dmarc@darktrace.com",Public,"v=DMARC1; p=reject; sp=reject; fo=1; pct=100; rua=mailto:b405d2309e0476fa3c601d099f1aaf4e9cd4ab85@dmarc.cybersprint.com,mailto:dmarc@darktrace.com; ruf=mailto:dmarc@darktrace.com; adkim=s; aspf=s;"
sentinelone.com,sentinelone.com,reject,,"mailto:92bb588df3a54eb395ce31486c2a35ea@dmarc-reports.cloudflare.net,mailto:dmarc@sentinelone.com",Public,"v=DMARC1; p=reject; rua=mailto:92bb588df3a54eb395ce31486c2a35ea@dmarc-reports.cloudflare.net,mailto:dmarc@sentinelone.com"
galini.ai,galini.ai,none,,mailto:dmarc-reports@galini.ai,Pre-seed/YC,v=DMARC1; p=none; rua=mailto:dmarc-reports@galini.ai
StarRocks,starrocks.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
StyleTTS2,styletts2.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Styra DAS,styra.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
sub2api,sub2api.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
so-vits-svc,sovitssvc.com,no-dmarc,,,,
SWE-agent,sweagent.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Tecton,tecton.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Temporal,temporal.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
TensorFlow Serving,tensorflow.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
txtai,txtai.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Unstructured,unstructured.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Vast.ai,vastai.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
VW Daemon,vwdaemon.com,no-dmarc,,,,
beesafe.ai,beesafe.ai,no-dmarc,,,Pre-seed/YC,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
guardrails.ai,guardrails.ai,no-dmarc,,,Seed,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
robustintelligence.com,robustintelligence.com,no-dmarc,,,Series B,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
