ip	port	hostnames	org	country	isp
47.91.125.239	30025		Alibaba Cloud - AE(Dubai)	AE	Alibaba (US) Technology Co., Ltd.
192.236.192.133	4000	hwsrv-1083752.hostwindsdns.com	Hostwinds Seattle	NL	Hostwinds LLC.
184.33.241.89	80	ec2-184-33-241-89.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
78.43.11.166	4000	ip-078-043-011-166.um18.pools.vodafone-ip.de	Vodafone BW GmbH	DE	Vodafone GmbH
5.78.135.28	4000	static.28.135.78.5.clients.your-server.de	Hetzner Online GmbH	US	Hetzner Online GmbH
149.28.147.149	4000	149.28.147.149.vultrusercontent.com	Vultr Holdings, LLC	SG	The Constant Company, LLC
111.229.2.87	8000		Tencent cloud computing (Beijing) Co., Ltd.	CN	Shenzhen Tencent Computer Systems Company Limited
102.222.177.32	8007		Universite Mohammed VI POLYTECHNIQUE - UM6P	MA	Universite Mohammed VI POLYTECHNIQUE - UM6P
104.238.179.31	8080	104.238.179.31.vultrusercontent.com	Vultr Holdings, LLC	US	The Constant Company, LLC
35.161.80.187	80	ec2-35-161-80-187.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
119.29.231.83	8080		Tencent cloud computing (Beijing) Co., Ltd.	CN	Shenzhen Tencent Computer Systems Company Limited
45.132.158.88	4000	vmi3266788.contaboserver.net	Contabo GmbH	DE	Contabo GmbH
172.171.103.39	80		Microsoft Limited	US	Microsoft Corporation
136.111.85.246	4000	246.85.111.136.bc.googleusercontent.com	Google LLC	US	
16.59.97.19	80	ec2-16-59-97-19.us-east-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
204.168.137.113	4000	static.113.137.168.204.clients.your-server.de	Hetzner Online GmbH	FI	
14.225.250.92	4000	static.vnpt.vn	Vietnam Posts and Telecommunications Group	VN	VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
49.13.164.69	80	static.69.164.13.49.clients.your-server.de	Hetzner Online GmbH	DE	Hetzner Online GmbH
54.163.48.23	443	ec2-54-163-48-23.compute-1.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
184.33.190.173	80	ec2-184-33-190-173.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
4.188.82.115	4000		Microsoft Corporation	IN	Microsoft Corporation
52.66.215.138	443	ec2-52-66-215-138.ap-south-1.compute.amazonaws.com;tekstac.com	Amazon Data Services India	IN	Amazon.com, Inc.
44.224.117.9	80	ec2-44-224-117-9.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
8.145.58.167	3008		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
104.199.185.105	4000	105.185.199.104.bc.googleusercontent.com	Google LLC	TW	Google LLC
16.145.69.33	80	ec2-16-145-69-33.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
35.80.217.189	80	ec2-35-80-217-189.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
54.245.80.5	80	ec2-54-245-80-5.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
90.156.254.77	4000		Beget LLC	LV	RETN Limited
52.11.58.234	80	ec2-52-11-58-234.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
4.246.74.163	80		Microsoft Corporation	US	Microsoft Corporation
184.32.166.177	80	ec2-184-32-166-177.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
91.99.193.92	4000	static.92.193.99.91.clients.your-server.de	Hetzner Online GmbH	DE	Hetzner Online GmbH
8.219.89.251	8080		Alibaba Cloud (Singapore) Private Limited	SG	Alibaba (US) Technology Co., Ltd.
85.159.210.248	12362	85-159-210-248.ip.linodeusercontent.com	Linode, LLC	GB	Akamai Connected Cloud
135.225.57.212	4000		Microsoft Limited	SE	Microsoft Corporation
171.244.195.83	9207		Viettel Group	VN	Viettel Group
43.200.42.210	443	ec2-43-200-42-210.ap-northeast-2.compute.amazonaws.com;llm.stodio.ai	Amazon.com, Inc.	KR	Amazon.com, Inc.
109.94.170.9	4000		365 Group LLC	DE	xTom GmbH
173.249.14.219	4000	vmi3134479.contaboserver.net	Contabo GmbH	DE	Contabo GmbH
129.212.233.200	4000		DigitalOcean, LLC	US	
72.56.83.173	4000		T-Mobile USA, Inc.	US	
47.119.176.104	4000		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
172.171.96.101	80		Microsoft Limited	US	Microsoft Corporation
52.7.194.125	443	litellm.skoop.digital;ec2-52-7-194-125.compute-1.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
18.142.124.67	80	ec2-18-142-124-67.ap-southeast-1.compute.amazonaws.com	Amazon Data Services Singapore	SG	Amazon.com, Inc.
172.171.96.163	80		Microsoft Limited	US	Microsoft Corporation
4.155.80.138	80		Microsoft Corporation	US	Microsoft Corporation
161.35.100.95	8000		DigitalOcean, LLC	US	DigitalOcean, LLC
3.133.14.128	443	stag.litellm.ninjoaiplatform.com;ec2-3-133-14-128.us-east-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
34.216.42.188	80	ec2-34-216-42-188.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
139.180.141.58	4000	139.180.141.58.vultrusercontent.com	The Constant Company, LLC	SG	The Constant Company, LLC
44.233.73.80	80	ec2-44-233-73-80.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
16.146.254.52	80	ec2-16-146-254-52.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
18.176.125.181	80	ec2-18-176-125-181.ap-northeast-1.compute.amazonaws.com	Amazon Data Services Japan	JP	Amazon.com, Inc.
52.26.70.141	80	ec2-52-26-70-141.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
47.115.90.49	4000		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
178.104.69.53	4000	static.53.69.104.178.clients.your-server.de	EE Limited	GB	
52.10.219.215	80	ec2-52-10-219-215.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
52.229.31.226	80		Microsoft Corporation	US	Microsoft Corporation
172.171.102.158	80		Microsoft Limited	US	Microsoft Corporation
8.130.70.17	8000		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
4.155.81.54	80		Microsoft Corporation	US	Microsoft Corporation
158.69.218.154	4000	vps-161fae40.vps.ovh.ca	OVH Hosting, Inc.	CA	OVH SAS
172.171.96.78	80		Microsoft Limited	US	Microsoft Corporation
166.1.62.210	4000		Ace Data Centers, Inc.	NL	Scalaxy B.V.
54.186.173.236	443	ec2-54-186-173-236.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
89.167.123.65	443	www.argbox.net;static.65.123.167.89.clients.your-server.de;argbox.net	Hetzner Online GmbH	DE	
129.226.149.178	4000			SG	Tencent Building, Kejizhongyi Avenue
34.251.63.190	443	llm-proxy.staging-news.co.uk;ec2-34-251-63-190.eu-west-1.compute.amazonaws.com;www.llm-proxy.staging-news.co.uk	Amazon Data Services Ireland Limited	IE	Amazon.com, Inc.
138.197.121.11	4000		DigitalOcean, LLC	US	DigitalOcean, LLC
104.161.34.19	8000	we.love.servers.at.ioflood.net	Input Output Flood LLC	US	Input Output Flood LLC
166.117.13.139	80	ae27dcddb2a6f0456.awsglobalaccelerator.com	Amazon.com, Inc.	US	Amazon.com, Inc.
172.171.96.202	80		Microsoft Limited	US	Microsoft Corporation
136.142.42.37	443	ol.sci.pitt.edu	University of Pittsburgh	US	University of Pittsburgh
16.147.178.228	80	ec2-16-147-178-228.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
47.100.202.176	4000		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
103.164.3.32	4000	kuhic.congregority.com	Code Technology	IN	Code Technology
8.215.204.59	2232		Alibaba Cloud (Singapore) Private Limited	ID	Alibaba (US) Technology Co., Ltd.
35.72.78.243	80	ec2-35-72-78-243.ap-northeast-1.compute.amazonaws.com	Amazon Data Services Japan	JP	Amazon.com, Inc.
198.23.61.208	4000	hosted.by.liquidnetlimited.com	LiquidNet US LLC	US	LiquidNet US LLC
204.168.129.169	4000	static.169.129.168.204.clients.your-server.de	Hetzner Online GmbH	FI	
43.134.6.100	4000		Asia Pacific Network Information Center, Pty. Ltd.	SG	Tencent Building, Kejizhongyi Avenue
32.195.230.12	80	ec2-32-195-230-12.compute-1.amazonaws.com	Amazon.com, Inc.	US	
16.148.247.144	80	ec2-16-148-247-144.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
54.237.134.184	443	api.oakie.ai;app.oakie.ai;ec2-54-237-134-184.compute-1.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
34.215.99.89	80	ec2-34-215-99-89.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
100.49.228.78	443	ec2-100-49-228-78.compute-1.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
52.36.150.168	80	ec2-52-36-150-168.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
74.207.235.11	18802	74-207-235-11.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
44.219.82.227	443	ec2-44-219-82-227.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
67.230.177.141	8000	67.230.177.141.16clouds.com	Cluster Logic Inc	US	IT7 Networks Inc
159.223.168.57	8000		DigitalOcean, LLC	US	DigitalOcean, LLC
35.80.243.18	80	ec2-35-80-243-18.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
8.219.138.19	4000		Alibaba Cloud (Singapore) Private Limited	SG	Alibaba (US) Technology Co., Ltd.
137.184.121.92	8000		DigitalOcean, LLC	US	DigitalOcean, LLC
15.165.246.185	80	ec2-15-165-246-185.ap-northeast-2.compute.amazonaws.com	AWS Asia Pacific (Seoul) Region	KR	Amazon.com, Inc.
52.44.37.108	443	litellm.awsprod.liquid.ai;ec2-52-44-37-108.compute-1.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
145.241.168.180	4000		Oracle Svenska AB	SE	
178.156.240.85	8000	static.85.240.156.178.clients.your-server.de	Hetzner Online GmbH	US	Hetzner Online GmbH
51.222.46.233	30004	ns5004227.ip-51-222-46.net	OVH Hosting, Inc.	CA	OVH SAS
137.184.116.12	8000		DigitalOcean, LLC	US	DigitalOcean, LLC
193.122.159.177	8000		Oracle Public Cloud	US	Oracle Corporation
91.229.91.133	443	api.qetred.ru	FreeNet L.L.C-FZ	RU	
63.34.192.216	80	ec2-63-34-192-216.eu-west-1.compute.amazonaws.com	Amazon Data Services Ireland Limited	IE	Amazon.com, Inc.
91.236.230.142	80		BlueVPS OU	US	BlueVPS OU
65.108.32.167	4000	167.32.108.65.datacrunch.io	Hetzner Online GmbH	FI	Hetzner Online GmbH
207.244.248.181	4000	vmi2912438.contaboserver.net	Contabo Inc.	US	Nubes, LLC
52.39.239.235	80	ec2-52-39-239-235.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
100.23.234.153	80	ec2-100-23-234-153.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
52.202.169.88	80	ec2-52-202-169-88.compute-1.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
47.237.81.110	4000		Alibaba Cloud LLC	SG	Alibaba (US) Technology Co., Ltd.
35.198.249.52	443	52.249.198.35.bc.googleusercontent.com;dashboard.echomoon.net	Google LLC	SG	Google LLC
184.32.153.191	80	ec2-184-32-153-191.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
54.228.181.156	443	ec2-54-228-181-156.eu-west-1.compute.amazonaws.com;ai.dev.mira.siemens-energy.com	Amazon.com, Inc.	IE	Amazon.com, Inc.
13.250.123.228	443	llm.xgo.space;ec2-13-250-123-228.ap-southeast-1.compute.amazonaws.com	Amazon Data Services Singapore	SG	Amazon.com, Inc.
35.161.105.137	443	ec2-35-161-105-137.us-west-2.compute.amazonaws.com;llmproxy-dev.controlfab.ai	Amazon.com, Inc.	US	Amazon.com, Inc.
152.3.101.14	4000	litellm-01.oit.duke.edu	Duke University	US	Duke University
162.243.78.192	8010		DigitalOcean, LLC	US	DigitalOcean, LLC
162.248.227.133	4000		Hosting Solution Ltd.	US	Hosting Solution Ltd.
8.215.204.59	12337		Alibaba Cloud (Singapore) Private Limited	ID	Alibaba (US) Technology Co., Ltd.
16.147.149.190	80	ec2-16-147-149-190.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
173.249.46.3	80	vmi2486717.contaboserver.net	Contabo GmbH	DE	Contabo GmbH
185.206.250.20	4000		YUWAN NETWORKS LIMITED	SG	YUWAN NETWORKS LIMITED
62.238.3.211	4000	static.211.3.238.62.clients.your-server.de	Hetzner Online GmbH	NL	
35.87.175.103	80	ec2-35-87-175-103.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
79.125.60.187	443	admin-v2.llm-gateway.haloai.app;ec2-79-125-60-187.eu-west-1.compute.amazonaws.com	Amazon Data Services Ireland Ltd	IE	Amazon.com, Inc.
69.164.193.108	12437	69-164-193-108.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
47.120.58.210	443	www.tianwenweilai.com	Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
100.51.21.101	443	agent.umcasual.com;ec2-100-51-21-101.compute-1.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
135.18.220.220	4000		Microsoft Limited	US	Microsoft Corporation
74.1.21.180	8001		GTT	US	GTT Communications Inc.
35.166.251.169	80	ec2-35-166-251-169.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
3.229.218.212	80	ec2-3-229-218-212.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
98.83.180.163	80	ec2-98-83-180-163.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
172.171.96.173	80		Microsoft Limited	US	Microsoft Corporation
137.184.176.110	4000		DigitalOcean, LLC	US	DigitalOcean, LLC
34.209.14.97	80	ec2-34-209-14-97.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
34.34.46.235	443	belka-games.com;235.46.34.34.bc.googleusercontent.com	Google LLC	NL	Google LLC
101.200.142.223	17102		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
85.159.210.189	443	85-159-210-189.ip.linodeusercontent.com;dojo-code.molecularconnections.com	Linode, LLC	GB	Akamai Connected Cloud
44.239.57.31	80	ec2-44-239-57-31.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
116.202.68.109	4000	web-5	Hetzner Online GmbH	FI	Hetzner Online GmbH
16.145.113.231	80	ec2-16-145-113-231.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
3.137.30.13	80	ec2-3-137-30-13.us-east-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
16.54.5.232	80	ec2-16-54-5-232.ca-central-1.compute.amazonaws.com	Amazon.com, Inc.	CA	Amazon.com, Inc.
54.237.136.80	443	ec2-54-237-136-80.compute-1.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
44.235.231.62	80	ec2-44-235-231-62.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
20.25.46.73	80		Microsoft Corporation	US	Microsoft Corporation
178.104.88.123	4000	static.123.88.104.178.clients.your-server.de	EE Limited	GB	
5.78.202.241	4000	static.241.202.78.5.clients.your-server.de	Hetzner Online GmbH	US	Hetzner Online GmbH
84.201.156.120	4000		Yandex.Cloud LLC	RU	Yandex.Cloud LLC
108.61.216.126	4000	108.61.216.126.vultrusercontent.com	Vultr Holdings, LLC	US	The Constant Company, LLC
54.187.165.234	80	ec2-54-187-165-234.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
51.210.209.89	4000	ns3179747.ip-51-210-209.eu	OVH SAS	FR	OVH SAS
172.171.96.79	80		Microsoft Limited	US	Microsoft Corporation
72.11.155.101	4000		HostPapa	CA	HostPapa
172.171.96.162	80		Microsoft Limited	US	Microsoft Corporation
52.88.177.231	80	ec2-52-88-177-231.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
172.171.96.172	80		Microsoft Limited	US	Microsoft Corporation
139.162.53.237	6514	139-162-53-237.ip.linodeusercontent.com	139.162.0.0/16	SG	Akamai Connected Cloud
88.198.24.241	443	aiproxy.isitalive.ru;mail.kisei.ai	Hetzner Online AG	DE	Hetzner Online GmbH
34.212.128.38	80	ec2-34-212-128-38.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
172.171.103.246	80		Microsoft Limited	US	Microsoft Corporation
16.145.5.122	80	ec2-16-145-5-122.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
172.171.102.86	80		Microsoft Limited	US	Microsoft Corporation
184.32.172.22	80	ec2-184-32-172-22.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
35.196.218.22	443	lite.innovit.cl;22.218.196.35.bc.googleusercontent.com	Google LLC	US	Google LLC
14.155.191.191	9999		CHINANET Guangdong province network	CN	CHINANET-BACKBONE
24.199.78.232	4000		DigitalOcean, LLC	US	DigitalOcean, LLC
16.148.0.245	80	ec2-16-148-0-245.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
52.65.240.82	443	llmproxy.deakin.edu.au;ec2-52-65-240-82.ap-southeast-2.compute.amazonaws.com	Amazon Technologies Inc.	AU	Amazon.com, Inc.
114.115.155.45	4000	ecs-114-115-155-45.compute.hwclouds-dns.com	Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co)	CN	IDC, China Telecommunications Corporation
46.225.63.201	4000	static.201.63.225.46.clients.your-server.de	Hetzner Online GmbH	AE	
172.171.102.199	80		Microsoft Limited	US	Microsoft Corporation
139.196.187.151	80		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
100.23.155.210	80	ec2-100-23-155-210.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
3.36.196.249	443	ec2-3-36-196-249.ap-northeast-2.compute.amazonaws.com;proxy.potens.ai	AWS Asia Pacific (Seoul) Region	KR	Amazon.com, Inc.
172.233.228.48	12245	172-233-228-48.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
8.209.254.35	443	china-dt.com	Shiodome Sumitomo Blog 1-9-2 TOKYO	JP	Alibaba (US) Technology Co., Ltd.
18.142.60.217	80	ec2-18-142-60-217.ap-southeast-1.compute.amazonaws.com	Amazon Data Services Singapore	SG	Amazon.com, Inc.
136.116.206.46	80	46.206.116.136.bc.googleusercontent.com	Google LLC	US	
100.23.189.167	80	ec2-100-23-189-167.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
44.238.209.212	80	ec2-44-238-209-212.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
52.43.237.66	80	ec2-52-43-237-66.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
54.200.183.41	80	ec2-54-200-183-41.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
64.110.105.119	4000		Oracle Corporation	JP	Oracle Corporation
8.136.39.158	443	maiscrm.com	Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
184.33.254.15	80	ec2-184-33-254-15.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
34.134.124.4	80	4.124.134.34.bc.googleusercontent.com	Google LLC	US	Google LLC
52.32.169.26	80	ec2-52-32-169-26.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
145.241.115.195	8080		Oracle Svenska AB	SE	
82.158.225.134	4000		VODAFONE ONO, S.A.	ES	VODAFONE ONO, S.A.
54.68.173.69	80	ec2-54-68-173-69.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
100.49.228.78	80	ec2-100-49-228-78.compute-1.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
100.22.182.36	80	ec2-100-22-182-36.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
100.22.151.211	80	ec2-100-22-151-211.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
13.233.236.212	443	ec2-13-233-236-212.ap-south-1.compute.amazonaws.com	Amazon Data Services India	IN	Amazon.com, Inc.
173.165.27.28	4000	173-165-27-28-Illinois.hfc.comcastbusiness.net	Comcast Cable Communications, LLC	US	Comcast Cable Communications, LLC
170.106.196.117	80			US	Tencent Building, Kejizhongyi Avenue
104.197.156.3	80	3.156.197.104.bc.googleusercontent.com	Google LLC	US	Google LLC
46.37.122.200	4000		Harvil Media	IN	M/S HARVIL MEDIA
13.49.205.222	443	litellm-proxy.preprod.releasefinans.net;ec2-13-49-205-222.eu-north-1.compute.amazonaws.com	Amazon Data Services Sweden	SE	Amazon.com, Inc.
52.33.124.174	80	ec2-52-33-124-174.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
50.112.109.218	80	ec2-50-112-109-218.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
52.32.82.235	80	ec2-52-32-82-235.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
16.147.115.32	80	ec2-16-147-115-32.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
52.18.55.1	80	ec2-52-18-55-1.eu-west-1.compute.amazonaws.com	Amazon Data Services Ireland Limited	IE	Amazon.com, Inc.
52.220.49.18	80	ec2-52-220-49-18.ap-southeast-1.compute.amazonaws.com	Amazon Data Services Singapore	SG	Amazon.com, Inc.
8.146.231.13	8101		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
136.110.162.137	80	137.162.110.136.bc.googleusercontent.com	Google LLC	US	
52.32.109.15	80	ec2-52-32-109-15.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
162.55.76.106	4000	static.106.76.55.162.clients.your-server.de	Hetzner Online GmbH	FI	Hetzner Online GmbH
100.55.182.97	443	litellm.private.dev.driverai.com;ec2-100-55-182-97.compute-1.amazonaws.com;litellm.dev.driverai.com	Amazon.com, Inc.	US	Amazon.com, Inc.
44.236.211.141	80	ec2-44-236-211-141.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
172.171.96.115	80		Microsoft Limited	US	Microsoft Corporation
172.171.96.203	80		Microsoft Limited	US	Microsoft Corporation
18.211.43.164	80	ec2-18-211-43-164.compute-1.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
18.227.102.154	80	ec2-18-227-102-154.us-east-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
13.37.117.191	80	ec2-13-37-117-191.eu-west-3.compute.amazonaws.com	Amazon Data Services France	FR	Amazon.com, Inc.
106.14.184.166	80		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
44.233.114.96	80	ec2-44-233-114-96.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
8.135.34.113	21261		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
35.155.186.184	80	ec2-35-155-186-184.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
52.88.39.176	80	ec2-52-88-39-176.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
137.66.11.47	80	ip-137-66-11-47.customer.flyio.net	Fly.io, Inc.	GB	Fly.io, Inc.
52.32.210.150	80	ec2-52-32-210-150.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
8.130.37.235	15502		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
8.211.34.237	11		Alibaba Cloud (Singapore) Private Limited	DE	Alibaba (US) Technology Co., Ltd.
52.220.57.251	80	ec2-52-220-57-251.ap-southeast-1.compute.amazonaws.com	Amazon Data Services Singapore	SG	Amazon.com, Inc.
57.180.169.136	80	ec2-57-180-169-136.ap-northeast-1.compute.amazonaws.com	Amazon Data Services Japan	JP	Amazon.com, Inc.
54.188.131.148	80	ec2-54-188-131-148.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
52.88.85.55	80	ec2-52-88-85-55.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
52.11.23.162	80	ec2-52-11-23-162.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
47.81.61.115	3950		Alibaba Cloud LLC	TH	Alibaba (US) Technology Co., Ltd.
45.135.127.3	4000		Medialine EuroTrade AG	DE	Medialine EuroTrade AG
54.148.213.159	80	ec2-54-148-213-159.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
34.29.187.112	4000	112.187.29.34.bc.googleusercontent.com	Google LLC	US	Google LLC
3.98.162.180	80	ec2-3-98-162-180.ca-central-1.compute.amazonaws.com	Amazon Data Services Canada	CA	Amazon.com, Inc.
52.44.14.47	80	ec2-52-44-14-47.compute-1.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
52.59.23.101	80	ec2-52-59-23-101.eu-central-1.compute.amazonaws.com	A100 ROW GmbH	DE	Amazon.com, Inc.
54.149.241.154	80	ec2-54-149-241-154.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
52.88.51.198	80	ec2-52-88-51-198.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
54.254.213.142	80	ec2-54-254-213-142.ap-southeast-1.compute.amazonaws.com	Amazon Data Services Japan	SG	Amazon.com, Inc.
44.232.207.0	80	ec2-44-232-207-0.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
103.241.43.92	4000	mnt-trade.com	MMO VIET NAM SOFTWARE COMPANY LIMITED	VN	Tino Group Joint Stock Company
52.35.190.178	80	ec2-52-35-190-178.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
52.11.60.223	80	ec2-52-11-60-223.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
34.213.200.255	80	ec2-34-213-200-255.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
35.224.72.41	80	41.72.224.35.bc.googleusercontent.com	Google LLC	US	Google LLC
167.71.3.152	80		DigitalOcean, LLC	NL	DigitalOcean, LLC
52.40.7.64	80	ec2-52-40-7-64.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
